Player,Position,Date of Birth,Age,Caps,Team,Year
Jamie Blamire,Hooker,1997-12-22,24,5,England,2022
Luke Cowan-Dickie,Hooker,1993-06-20,28,31,England,2022
Jamie George,Hooker,1990-10-20,31,61,England,2022
Ellis Genge,Prop,1995-02-16,26,31,England,2022
Joe Heyes,Prop,1999-04-13,22,2,England,2022
Joe Marler,Prop,1990-07-07,31,74,England,2022
Bevan Rodd,Prop,2000-08-26,21,2,England,2022
Kyle Sinckler,Prop,1993-03-30,28,47,England,2022
Will Stuart,Prop,1996-07-12,25,15,England,2022
Ollie Chessum,Lock,2000-09-06,21,0,England,2022
Charlie Ewels,Lock,1995-06-29,26,26,England,2022
Jonny Hill,Lock,1994-06-08,27,12,England,2022
Maro Itoje,Lock,1994-10-28,27,51,England,2022
Courtney Lawes,Lock,1989-02-23,32,90,England,2022
Alfie Barbeary,Back row,2000-10-05,21,0,England,2022
Tom Curry,Back row,1998-06-15,23,36,England,2022
Alex Dombrandt,Back row,1997-04-29,24,4,England,2022
Lewis Ludlam,Back row,1995-12-08,26,10,England,2022
Sam Simmonds,Back row,1994-11-10,27,9,England,2022
Raffi Quirke,Scrum-half,2001-08-18,20,2,England,2022
Harry Randall,Scrum-half,1997-12-18,24,2,England,2022
Ben Youngs,Scrum-half,1989-09-05,32,112,England,2022
Orlando Bailey,Fly-half,2001-09-29,20,0,England,2022
Owen Farrell,Fly-half,1991-09-24,30,94,England,2022
Marcus Smith,Fly-half,1999-02-14,22,5,England,2022
Mark Atkinson,Centre,1990-03-08,31,1,England,2022
Joe Marchant,Centre,1996-07-16,25,7,England,2022
Luke Northmore,Centre,1997-03-16,24,0,England,2022
Henry Slade,Centre,1993-03-19,28,43,England,2022
Ollie Hassell-Collins,Wing,1999-01-17,23,0,England,2022
Jonny May,Wing,1990-04-01,31,69,England,2022
Jack Nowell,Wing,1993-11-04,28,34,England,2022
Tommy Freeman,Fullback,2001-03-05,20,0,England,2022
George Furbank,Fullback,1996-10-17,25,5,England,2022
Max Malins,Fullback,1997-01-07,25,10,England,2022
Freddie Steward,Fullback,2000-12-05,21,5,England,2022
Dave Heffernan,Hooker,1991-01-31,31,6,France,2022
Jeremy Loughman,Prop,1995-07-22,26,0,France,2022
James Lowe,Wing,1992-07-08,29,10,France,2022
Jimmy O'Brien,Fullback,1996-11-27,25,0,France,2022
Alun Wyn Jones,Lock,1985-09-19,36,149,France,2022
Taulupe Faletau,Back row,1990-11-12,31,86,France,2022
Josh Navidi,Back row,1990-12-30,31,28,France,2022
