Player,Position,Date,Caps,Year
Camille Chat,Hooker,12/18/1995,26,2022
Anthony Étrillard,Hooker,3/21/1993,0,2022
Julien Marchand,Hooker,5/10/1995,2,2022
Dorian Aldegheri,Prop,8/4/1993,4,2022
Cyril Baille,Prop,9/15/1993,17,2022
Demba Bamba,Prop,3/17/1998,7,2022
Jean-Baptiste Gros,Prop,5/29/1999,0,2022
Mohamed Haouas,Prop,6/9/1994,0,2022
Jefferson Poirot,Prop,11/1/1992,33,2022
Cyril Cazeaux,Lock,2/10/1995,0,2022
Kilian Geraci,Lock,3/25/1999,0,2022
Bernard Le Roux,Lock,6/4/1989,37,2022
Boris Palu,Lock,2/4/1996,0,2022
Romain Taofifénua,Lock,9/14/1990,14,2022
Paul Willemse,Lock,11/13/1992,5,2022
Gregory Alldritt,Back row,3/23/1997,11,2022
Dylan Cretin,Back row,5/4/1997,0,2022
François Cros,Back row,3/25/1994,2,2022
Alexandre Fischer,Back row,1/19/1998,0,2022
Sekou Macalou,Back row,4/20/1995,2,2022
Charles Ollivon (c),Back row,5/11/1993,11,2022
Selevasio Tolofua,Back row,5/31/1997,0,2022
Cameron Woki,Back row,11/7/1998,0,2022
Antoine Dupont,Scrum-half,11/15/1996,20,2022
Maxime Lucu,Scrum-half,1/12/1993,0,2022
Baptiste Serin,Scrum-half,6/20/1994,33,2022
Louis Carbonel,Fly-half,2/4/1999,0,2022
Matthieu Jalibert,Fly-half,11/6/1998,1,2022
Romain Ntamack,Fly-half,5/1/1999,12,2022
Gaël Fickou,Centre,3/26/1994,51,2022
Julien Hériteau,Centre,1/12/1994,0,2022
Virimi Vakatawa,Centre,5/1/1992,21,2022
Arthur Vincent,Centre,9/30/1999,0,2022
Gervais Cordin,Wing,12/10/1998,0,2022
Lester Etien,Wing,6/21/1995,0,2022
Gabriel N'Gandebe,Wing,3/30/1997,0,2022
Damian Penaud,Wing,9/25/1996,16,2022
Vincent Rattez,Wing,3/24/1992,3,2022
Teddy Thomas,Wing,9/18/1993,16,2022
Anthony Bouthier,Fullback,6/19/1992,0,2022
Kylan Hamdaoui,Fullback,4/15/1994,0,2022
Thomas Ramos,Fullback,7/23/1995,9,2022
Teddy Baubigny,Hooker,9/2/1998,0,2022
Peato Mauvaka,Hooker,1/10/1997,1,2022
Wilfrid Hounkpatin,Prop,7/29/1991,0,2022
Guillaume Ducat,Lock,5/25/1996,0,2022
Baptiste Delaporte,Back row,3/27/1997,0,2022
Alexandre Roumat,Back row,6/27/1997,0,2022
Yvan Reilhac,Centre,6/9/1995,0,2022
Alivereti Raka,Wing,12/9/1994,4,2022
Lucas Tauzin,Wing,5/21/1998,0,2022
Pierre Bourgarit,Hooker,9/12/1997,3,2021
Julien Marchand,Hooker,5/10/1995,9,2021
Peato Mauvaka,Hooker,1/10/1997,6,2021
Dorian Aldegheri,Prop,8/4/1993,6,2021
Cyril Baille,Prop,9/15/1993,23,2021
Georges-Henri Colombe,Prop,4/9/1998,0,2021
Jean-Baptiste Gros,Prop,5/29/1999,5,2021
Mohamed Haouas,Prop,6/9/1994,7,2021
Kilian Geraci,Lock,3/25/1999,2,2021
Bernard Le Roux,Lock,6/4/1989,44,2021
Romain Taofifénua,Lock,9/14/1990,22,2021
Paul Willemse,Lock,11/13/1992,12,2021
Grégory Alldritt,Back row,3/23/1997,18,2021
Dylan Cretin,Back row,5/4/1997,5,2021
Anthony Jelonch,Back row,7/28/1996,4,2021
Charles Ollivon (c),Back row,5/11/1993,18,2021
Baptiste Pesenti,Back row,7/3/1997,2,2021
Cameron Woki,Back row,11/7/1998,4,2021
Baptiste Couilloud,Scrum-half,7/22/1997,5,2021
Antoine Dupont,Scrum-half,11/15/1996,27,2021
Baptiste Serin,Scrum-half,6/20/1994,40,2021
Louis Carbonel,Fly-half,2/4/1999,2,2021
Matthieu Jalibert,Fly-half,11/6/1998,8,2021
Pierre-Louis Barassi,Centre,4/22/1998,2,2021
Gaël Fickou,Centre,3/26/1994,58,2021
Arthur Vincent,Centre,9/30/1999,7,2021
Damian Penaud,Wing,9/25/1996,17,2021
Teddy Thomas,Wing,9/18/1993,22,2021
Gabin Villière,Wing,12/13/1995,2,2021
Anthony Bouthier,Fullback,6/19/1992,6,2021
Brice Dulin,Fullback,4/13/1990,31,2021
Gaëtan Barlot,Hooker,4/13/1997,0,2021
Teddy Baubigny,Hooker,9/2/1998,1,2021
Camille Chat,Hooker,12/18/1995,31,2021
