Player,Position,Date of Birth,Age,Caps,Year
Hame Faiva,Hooker,5/9/1994,27,1,2022
Gianmarco Lucchesi,Hooker,9/10/2000,21,8,2022
Giacomo Nicotera,Hooker,7/15/1996,25,0,2022
Pietro Ceccarelli,Prop,2/16/1992,29,17,2022
Danilo Fischetti,Prop,1/26/1998,24,15,2022
Ivan Nemer,Prop,4/22/1998,23,3,2022
Tiziano Pasquali,Prop,7/14/1994,27,21,2022
Cherif Traorè,Prop,4/10/1994,27,12,2022
Giosuè Zilocchi,Prop,1/15/1997,25,15,2022
Niccolò Cannone,Lock,5/17/1998,23,15,2022
Marco Fuser,Lock,3/9/1991,30,36,2022
Federico Ruzza,Lock,8/4/1994,27,25,2022
David Sisi,Lock,2/5/1993,29,18,2022
Toa Halafihi,Back row,11/27/1993,28,0,2022
Michele Lamaro,Back row,6/3/1998,23,10,2022
Sebastian Negri,Back row,6/30/1994,27,36,2022
Giovanni Pettinelli,Back row,3/13/1996,25,1,2022
Braam Steyn,Back row,5/2/1992,29,46,2022
Manuel Zuliani,Back row,4/26/2000,21,0,2022
Callum Braley,Scrum-half,3/24/1994,27,12,2022
Alessandro Fusco,Scrum-half,10/28/1999,22,2,2022
Stephen Varney,Scrum-half,5/16/2001,20,9,2022
Giacomo Da Re,Fly-half,3/29/1999,22,0,2022
Paolo Garbisi,Fly-half,4/26/2000,21,13,2022
Leonardo Marin,Fly-half,2/23/2002,19,0,2022
Ignacio Brex,Centre,5/26/1992,29,8,2022
Luca Morisi,Centre,2/22/1991,30,36,2022
Marco Zanon,Centre,10/3/1997,24,7,2022
Pierre Bruno,Wing,6/28/1996,25,1,2022
Monty Ioane,Wing,10/30/1994,27,9,2022
Tommaso Menoncello,Wing,8/20/2002,19,0,2022
Federico Mori,Wing,10/13/2000,21,11,2022
Edoardo Padovani,Fullback,3/15/1993,28,30,2022
Luca Bigi,Hooker,4/19/1991,29,32,2021
Gianmarco Lucchesi,Hooker,9/10/2000,20,2,2021
Marco Manfredi,Hooker,9/18/1997,23,0,2021
Pietro Ceccarelli,Prop,2/16/1992,28,14,2021
Danilo Fischetti,Prop,1/26/1998,23,8,2021
Marco Riccioni,Prop,10/19/1997,23,7,2021
Daniele Rimpelli,Prop,6/23/1997,23,0,2021
Cherif Traorè,Prop,4/10/1994,26,10,2021
Giosuè Zilocchi,Prop,1/15/1997,24,10,2021
Niccolò Cannone,Lock,5/17/1998,22,8,2021
Riccardo Favretto,Lock,10/10/2001,19,0,2021
Marco Lazzaroni,Lock,5/18/1995,25,11,2021
David Sisi,Lock,2/5/1993,28,11,2021
Cristian Stoian,Lock,12/19/1999,21,2,2021
Michele Lamaro,Back row,6/3/1998,22,2,2021
Maxime Mbanda,Back row,4/10/1992,28,25,2021
Johan Meyer,Back row,2/26/1993,27,9,2021
Sebastian Negri,Back row,6/30/1994,26,28,2021
Federico Ruzza,Back row,8/4/1994,26,19,2021
Callum Braley,Scrum-half,3/24/1994,26,9,2021
Guglielmo Palazzani,Scrum-half,4/11/1991,29,41,2021
Stephen Varney,Scrum-half,5/16/2001,19,3,2021
Tommaso Allan,Fly-half,4/26/1993,27,60,2021
Carlo Canna,Fly-half,8/25/1992,28,47,2021
Paolo Garbisi,Fly-half,4/26/2000,20,5,2021
Ignacio Brex,Centre,5/26/1992,28,0,2021
Federico Mori,Centre,10/13/2000,20,5,2021
Marco Zanon,Centre,10/3/1997,23,4,2021
Mattia Bellini,Wing,2/8/1994,26,28,2021
Monty Ioane,Wing,10/30/1994,26,1,2021
Luca Sperandio,Wing,1/28/1996,25,6,2021
Jacopo Trulla,Fullback,11/5/2000,20,3,2021
Renato Giammarioli,Back row,3/23/1995,25,4,2021
Marcello Violi,Scrum-half,10/11/1993,27,19,2021
Tommaso Boni,Centre,1/15/1993,28,11,2021
Tommaso Menoncello,Centre,8/20/2002,18,0,2021
Michelangelo Biondelli,Fullback,5/15/1998,22,0,2021
Oliviero Fabiani,Hooker,7/13/1990,30,10,2021
Andrea Lovotti,Prop,7/28/1989,31,43,2021
Andrea Zambonin,Lock,9/3/2000,20,0,2021
Pierre Bruno,Wing,6/28/1996,24,0,2021
Edoardo Padovani,Fullback,5/15/1993,27,26,2021
Luca Bigi,Hooker,4/19/1991,28,24,2020
Oliviero Fabiani,Hooker,7/3/1990,29,10,2020
Federico Zani,Hooker,4/9/1989,30,13,2020
Pietro Ceccarelli,Prop,2/16/1992,27,9,2020
Danilo Fischetti,Prop,1/26/1998,22,0,2020
Andrea Lovotti,Prop,7/28/1989,30,41,2020
Marco Riccioni,Prop,10/19/1997,22,7,2020
Giosuè Zilocchi,Prop,1/15/1997,23,2,2020
Dean Budd,Lock,7/31/1986,33,26,2020
Niccolò Cannone,Lock,5/17/1998,21,0,2020
Federico Ruzza,Lock,8/4/1994,25,18,2020
Alessandro Zanni,Lock,1/31/1984,36,117,2020
Marco Lazzaroni,Back row,5/18/1995,24,4,2020
Giovanni Licata,Back row,2/18/1997,22,8,2020
Johan Meyer,Back row,2/26/1993,26,4,2020
Sebastian Negri,Back row,6/30/1994,25,22,2020
Giovanni Pettinelli,Back row,3/13/1996,23,0,2020
Jake Polledri,Back row,11/8/1995,24,13,2020
Braam Steyn,Back row,5/2/1992,27,36,2020
Callum Braley,Scrum-half,3/20/1994,25,5,2020
Guglielmo Palazzani,Scrum-half,4/11/1991,28,36,2020
Marcello Violi,Scrum-half,10/11/1993,26,15,2020
Tommaso Allan,Fly-half,4/26/1993,26,54,2020
Carlo Canna,Fly-half,8/25/1992,27,39,2020
Antonio Rizzi,Fly-half,1/5/1998,22,0,2020
Giulio Bisegni,Centre,4/4/1992,27,14,2020
Tommaso Boni,Centre,1/15/1993,27,11,2020
Luca Morisi,Centre,2/22/1991,28,29,2020
Alberto Sgarbi,Centre,11/26/1986,33,29,2020
Mattia Bellini,Wing,2/8/1994,25,22,2020
Tommaso Benvenuti,Wing,12/12/1990,29,62,2020
Leonardo Sarto,Wing,1/15/1992,28,34,2020
Matteo Minozzi,Wing,6/4/1996,23,16,2020
Michelangelo Biondelli,Fullback,10/15/1998,21,0,2020
Jayden Hayward,Fullback,2/11/1987,32,23,2020
Edoardo Padovani,Fullback,5/15/1993,26,24,2020
Luca Bigi,Hooker,4/19/1991,27,15,2019
Leonardo Ghiraldini,Hooker,12/26/1984,34,99,2019
Simone Ferrari,Prop,3/28/1994,24,17,2019
Andrea Lovotti,Prop,7/28/1989,29,30,2019
Tiziano Pasquali,Prop,7/14/1994,24,13,2019
Cherif Traorè,Prop,4/10/1994,24,5,2019
Giosuè Zilocchi,Prop,1/15/1997,22,2,2019
Dean Budd,Lock,7/31/1986,32,16,2019
Federico Ruzza,Lock,8/4/1994,24,7,2019
Dave Sisi,Lock,2/5/1993,25,0,2019
Alessandro Zanni,Lock,1/31/1984,35,109,2019
Marco Barbini,Back row,10/16/1990,28,2,2019
Maxime Mbanda,Back row,4/10/1993,25,15,2019
Sebastian Negri,Back row,6/30/1994,24,12,2019
Sergio Parisse,Back row,9/12/1983,35,134,2019
Braam Steyn,Back row,5/2/1992,26,25,2019
Jimmy Tuivaiti,Back row,1/2/1988,31,1,2019
Guglielmo Palazzani,Scrum-half,4/11/1991,27,28,2019
Tito Tebaldi,Scrum-half,9/23/1987,31,29,2019
Tommaso Allan,Fly-half,4/26/1993,25,43,2019
Carlo Canna,Fly-half,8/25/1992,26,32,2019
Ian McKinley,Fly-half,12/4/1989,29,4,2019
Giulio Bisegni,Centre,4/4/1992,26,11,2019
Michele Campagnaro,Centre,3/13/1993,25,38,2019
Tommaso Castello,Centre,8/14/1991,27,15,2019
Luca Morisi,Centre,2/22/1991,27,20,2019
Tommaso Benvenuti,Wing,12/12/1990,28,55,2019
Angelo Esposito,Wing,6/14/1993,25,15,2019
Luca Sperandio,Wing,1/28/1996,23,5,2019
Jayden Hayward,Fullback,2/11/1987,31,12,2019
Edoardo Padovani,Fullback,5/15/1993,25,15,2019
Oliviero Fabiani,Hooker,7/3/1990,28,7,2019
Engjel Makelara,Hooker,8/22/1996,22,0,2019
Nicola Quaglio,Prop,3/9/1991,27,8,2019
Marco Riccioni,Prop,10/19/1997,21,0,2019
Marco Fuser,Lock,3/9/1991,27,33,2019
Jake Polledri,Back row,11/8/1995,23,6,2019
Edoardo Gori,Scrum-half,5/5/1990,28,68,2019
Marco Zanon,Centre,10/3/1997,21,0,2019
Luca Bigi,Hooker,4/19/1991,26,6,2018
Oliviero Fabiani,Hooker,7/13/1990,27,4,2018
Leonardo Ghiraldini,Hooker,12/26/1984,33,89,2018
Simone Ferrari,Prop,3/28/1994,23,8,2018
Andrea Lovotti,Prop,7/28/1989,28,20,2018
Tiziano Pasquali,Prop,7/14/1994,23,2,2018
Nicola Quaglio,Prop,3/9/1991,26,2,2018
Marco Riccioni,Prop,10/19/1997,20,0,2018
George Biagi,Lock,10/4/1985,32,19,2018
Dean Budd,Lock,7/31/1986,31,6,2018
Federico Ruzza,Lock,8/4/1994,23,3,2018
Alessandro Zanni,Lock,1/31/1984,34,99,2018
Renato Giammarioli,Flanker,3/23/1995,22,1,2018
Giovanni Licata,Flanker,2/18/1997,20,3,2018
Maxime Mbanda,Flanker,4/10/1993,24,11,2018
Sebastian Negri,Flanker,6/30/1994,23,2,2018
Sergio Parisse,Number 8,9/12/1983,34,129,2018
Braam Steyn,Number 8,5/2/1992,25,17,2018
Edoardo Gori,Scrum-half,3/5/1990,27,65,2018
Marcello Violi,Scrum-half,10/11/1993,24,8,2018
Tommaso Allan,Fly-half,4/26/1993,24,33,2018
Carlo Canna,Fly-half,8/25/1992,25,25,2018
Ian McKinley,Fly-half,12/4/1989,28,3,2018
Tommaso Benvenuti,Centre,12/12/1990,27,45,2018
Giulio Bisegni,Centre,4/4/1992,25,7,2018
Tommaso Boni,Centre,1/15/1993,25,8,2018
Tommaso Castello,Centre,8/14/1991,26,5,2018
Mattia Bellini,Wing,2/8/1994,23,8,2018
Matteo Minozzi,Wing,6/4/1996,21,3,2018
Jayden Hayward,Fullback,2/11/1987,30,3,2018
Edoardo Padovani,Fullback,5/15/1993,24,14,2018
Dario Chistolini,Prop,9/14/1988,29,20,2018
Federico Zani,Prop,4/9/1989,28,6,2018
Jake Polledri,Flanker,11/8/1995,22,0,2018
Guglielmo Palazzani,Scrum-half,4/11/1991,26,22,2018
Luca Morisi,Centre,2/22/1991,26,16,2018
Tommaso D'Apice,Hooker,6/30/1988,28,11,2017
Ornel Gega,Hooker,3/24/1990,26,8,2017
Leonardo Ghiraldini,Hooker,12/26/1984,32,82,2017
Pietro Ceccarelli,Prop,2/16/1992,24,5,2017
Dario Chistolini,Prop,9/14/1988,28,15,2017
Lorenzo Cittadini,Prop,12/17/1982,34,53,2017
Andrea Lovotti,Prop,7/28/1989,27,9,2017
Sami Panico,Prop,6/4/1993,23,6,2017
George Biagi,Lock,10/4/1985,31,14,2017
Joshua Furno,Lock,10/21/1989,27,36,2017
Marco Fuser,Lock,3/9/1991,25,16,2017
Federico Ruzza,Lock,8/4/1994,22,0,2017
Dries van Schalkwyk,Lock,12/21/1984,32,8,2017
Marco Barbini,Flanker,10/16/1990,26,2,2017
Simone Favaro,Flanker,11/7/1988,28,33,2017
Maxime Mbanda,Flanker,4/10/1993,23,3,2017
Francesco Minto,Flanker,5/20/1987,29,31,2017
Sergio Parisse,Number 8,9/12/1983,33,121,2017
Braam Steyn,Number 8,5/2/1992,24,6,2017
Giorgio Bronzini,Scrum-half,4/20/1990,26,3,2017
Edoardo Gori,Scrum-half,3/5/1990,26,56,2017
Marcello Violi,Scrum-half,10/11/1993,23,2,2017
Tommaso Allan,Fly-half,4/26/1993,23,27,2017
Carlo Canna,Fly-half,8/25/1992,24,15,2017
Tommaso Benvenuti,Centre,12/12/1990,26,37,2017
Tommaso Boni,Centre,1/15/1993,24,2,2017
Michele Campagnaro,Centre,3/13/1993,23,25,2017
Luke McLean,Centre,6/29/1987,29,84,2017
Giulio Bisegni,Wing,4/4/1992,24,5,2017
Angelo Esposito,Wing,6/14/1993,23,8,2017
Giovanbattista Venditti,Wing,3/27/1990,26,38,2017
Edoardo Padovani,Fullback,5/15/1993,23,6,2017
Michele Rizzo,Prop,9/16/1982,34,22,2017
Matteo Minozzi,Fly-half,6/4/1996,20,0,2017
Luca Sperandio,Fullback,1/28/1996,21,0,2017
Ornel Gega,Hooker,3/24/1990,25,0,2016
Leonardo Ghiraldini,Hooker,12/26/1984,31,80,2016
Martin Castrogiovanni,Prop,10/21/1981,34,115,2016
Dario Chistolini,Prop,9/14/1988,27,13,2016
Lorenzo Cittadini,Prop,12/17/1982,33,44,2016
Andrea Lovotti,Prop,7/28/1989,26,0,2016
Matteo Zanusso,Prop,4/9/1993,22,0,2016
Valerio Bernabò,Lock,3/3/1984,31,27,2016
George Biagi,Lock,10/4/1985,30,8,2016
Marco Fuser,Lock,3/9/1991,24,6,2016
Francesco Minto,Flanker,5/20/1987,28,23,2016
Jacopo Sarto,Flanker,7/15/1990,25,0,2016
Braam Steyn,Flanker,5/2/1992,23,0,2016
Alessandro Zanni,Flanker,1/31/1984,32,94,2016
Sergio Parisse,Number 8,9/12/1983,32,114,2016
Dries van Schalkwyk,Number 8,12/21/1984,31,0,2016
Edoardo Gori,Scrum-half,3/5/1990,25,47,2016
Guglielmo Palazzani,Scrum-half,4/11/1991,24,15,2016
Carlo Canna,Fly-half,8/25/1992,23,7,2016
Edoardo Padovani,Fly-half,5/15/1993,22,0,2016
Giulio Bisegni,Centre,4/4/1992,23,2,2016
Michele Campagnaro,Centre,3/13/1993,22,18,2016
Tommaso Castello,Centre,8/14/1991,24,0,2016
