Player,Position,Age,Caps,Year
Ewan Ashman,Hooker,4/3/2000,2,2022
Stuart McInally,Hooker,8/9/1990,43,2022
George Turner,Hooker,10/8/1992,20,2022
Jamie Bhatti,Prop,9/8/1993,22,2022
Zander Fagerson,Prop,1/19/1996,42,2022
WP Nel,Prop,4/30/1986,43,2022
Pierre Schoeman,Prop,5/7/1994,4,2022
Javan Sebastian,Prop,9/27/1994,1,2022
Rory Sutherland,Prop,8/24/1992,16,2022
Scott Cummings,Lock,12/3/1996,21,2022
Grant Gilchrist,Lock,8/9/1990,48,2022
Jonny Gray,Lock,3/24/1994,64,2022
Jamie Hodgson,Lock,3/19/1998,3,2022
Sam Skinner,Lock,1/31/1995,15,2022
Josh Bayliss,Back row,9/18/1997,2,2022
Magnus Bradbury,Back row,8/23/1995,14,2022
Andy Christie,Back row,3/27/1999,0,2022
Rory Darge,Back row,2/23/2000,0,2022
Matt Fagerson,Back row,7/16/1998,17,2022
Nick Haining,Back row,9/1/1990,10,2022
Jamie Ritchie,Back row,8/16/1996,31,2022
Hamish Watson,Back row,10/15/1991,45,2022
Ali Price,Scrum-half,5/12/1993,46,2022
Ben Vellacott,Scrum-half,3/28/1995,0,2022
Ben White,Scrum-half,5/27/1998,0,2022
Finn Russell,Fly-half,9/23/1992,58,2022
Mark Bennett,Centre,2/3/1993,22,2022
Chris Harris,Centre,12/28/1990,31,2022
Rory Hutchinson,Centre,1/29/1996,5,2022
Sam Johnson,Centre,6/19/1993,21,2022
Cameron Redpath,Centre,12/23/1999,1,2022
Sione Tuipulotu,Centre,2/12/1997,1,2022
Darcy Graham,Wing,6/21/1997,22,2022
Rufus McLean,Wing,3/2/2000,2,2022
Kyle Rowe,Wing,2/8/1998,0,2022
Kyle Steyn,Wing,1/29/1994,3,2022
Duhan van der Merwe,Wing,6/4/1995,13,2022
Stuart Hogg,Fullback,6/24/1992,88,2022
Blair Kinghorn,Fullback,1/18/1997,28,2022
Ewan Ashman,Hooker,4/3/2000,0,2021
David Cherry,Hooker,1/3/1991,0,2021
Grant Stewart,Hooker,2/28/1995,3,2021
George Turner,Hooker,10/8/1992,12,2021
Simon Berghan,Prop,12/7/1990,28,2021
Allan Dell,Prop,3/16/1992,32,2021
Zander Fagerson,Prop,1/16/1996,34,2021
Oli Kebble,Prop,6/18/1992,5,2021
WP Nel,Prop,4/30/1986,40,2021
Rory Sutherland,Prop,8/24/1992,11,2021
Alex Craig,Lock,4/21/1997,0,2021
Scott Cummings,Lock,12/3/1996,17,2021
Grant Gilchrist,Lock,8/9/1990,42,2021
Jonny Gray,Lock,3/14/1994,61,2021
Richie Gray,Lock,8/24/1989,65,2021
Matt Fagerson,Back row,7/16/1998,9,2021
Gary Graham,Back row,8/29/1992,2,2021
Jamie Ritchie,Back row,8/16/1996,23,2021
Blade Thomson,Back row,12/4/1990,9,2021
Hamish Watson,Back row,10/15/1991,36,2021
Ali Price,Scrum-half,3/12/1993,37,2021
Scott Steele,Scrum-half,7/24/1993,1,2021
Finn Russell,Fly-half,9/23/1992,51,2021
Jaco van der Walt,Fly-half,2/1/1994,1,2021
Chris Harris,Centre,12/28/1990,23,2021
Huw Jones,Centre,12/17/1993,26,2021
James Lang,Centre,4/4/1995,5,2021
Cameron Redpath,Centre,12/23/1999,0,2021
Duncan Taylor,Centre,9/5/1989,23,2021
Darcy Graham,Wing,6/21/1997,15,2021
Sean Maitland,Wing,7/14/1988,50,2021
Byron McGuigan,Wing,8/20/1989,10,2021
Duhan van der Merwe,Wing,6/4/1995,5,2021
Stuart Hogg (c),Fullback,6/24/1992,80,2021
Blair Kinghorn,Fullback,1/18/1997,25,2021
Fraser Brown,Hooker,6/20/1989,46,2020
Stuart McInally,Hooker,8/9/1990,33,2020
George Turner,Hooker,10/8/1992,9,2020
Simon Berghan,Prop,12/7/1990,24,2020
Jamie Bhatti,Prop,9/8/1993,15,2020
Allan Dell,Prop,3/16/1992,28,2020
Zander Fagerson,Prop,1/19/1996,25,2020
W. P. Nel,Prop,4/30/1986,35,2020
Rory Sutherland,Prop,8/24/1992,3,2020
Alex Craig,Lock,4/26/1997,0,2020
Scott Cummings,Lock,12/3/1996,8,2020
Grant Gilchrist,Lock,8/9/1990,40,2020
Jonny Gray,Lock,3/14/1994,55,2020
Ben Toolis,Lock,3/31/1992,22,2020
Magnus Bradbury,Back row,8/23/1995,11,2020
Luke Crosbie,Back row,4/22/1997,0,2020
Cornell du Preez,Back row,3/23/1991,6,2020
Thomas Gordon,Back row,1/30/1997,0,2020
Nick Haining,Back row,9/1/1990,0,2020
Jamie Ritchie,Back row,8/16/1996,14,2020
Hamish Watson,Back row,10/15/1991,28,2020
