Player,Position,Date of birth (age),Age,Caps,Team,Year
George Chuter,Hooker,1976-07-09,32,19,England,2008
Lee Mears,Hooker,1979-03-05,29,18,England,2008
Mark Regan,Hooker,1972-01-28,36,43,England,2008
Jason Hobson,Prop,1983-02-10,25,0,England,2008
Tim Payne,Prop,1979-04-29,29,5,England,2008
Andrew Sheridan,Prop,1979-11-01,29,20,England,2008
Matt Stevens,Prop,1982-10-01,26,20,England,2008
Phil Vickery (c),Prop,1976-03-14,32,60,England,2008
Steve Borthwick,Lock,1979-10-12,29,32,England,2008
Louis Deacon,Lock,1980-10-07,28,6,England,2008
Ben Kay,Lock,1975-12-14,33,53,England,2008
Simon Shaw,Lock,1973-09-01,35,43,England,2008
Tom Croft,Flanker,1985-11-07,23,0,England,2008
James Haskell,Flanker,1985-04-02,23,2,England,2008
Michael Lipman,Flanker,1980-01-16,28,3,England,2008
Magnus Lund,Flanker,1983-06-25,25,10,England,2008
Lewis Moody,Flanker,1978-06-12,30,52,England,2008
Tom Rees,Flanker,1984-09-11,24,8,England,2008
Joe Worsley,Flanker,1977-06-14,31,65,England,2008
Nick Easter,Number 8,1978-08-15,30,12,England,2008
Luke Narraway,Number 8,1983-09-07,25,0,England,2008
Danny Care,Scrum-half,1987-01-02,21,0,England,2008
Lee Dickson,Scrum-half,1985-03-29,23,0,England,2008
Andy Gomarsall,Scrum-half,1974-07-24,34,33,England,2008
Paul Hodgson,Scrum-half,1982-04-25,26,0,England,2008
Peter Richards,Scrum-half,1978-03-10,30,12,England,2008
Richard Wigglesworth,Scrum-half,1983-06-09,25,0,England,2008
Danny Cipriani,Fly-half,1987-11-02,21,0,England,2008
Shane Geraghty,Fly-half,1986-08-12,22,2,England,2008
Charlie Hodgson,Fly-half,1980-11-12,28,29,England,2008
Jonny Wilkinson,Fly-half,1979-05-25,29,65,England,2008
Toby Flood,Centre,1985-08-08,23,12,England,2008
Jamie Noon,Centre,1979-05-09,29,27,England,2008
Mathew Tait,Centre,1986-02-06,22,19,England,2008
Mike Tindall,Centre,1978-10-18,30,54,England,2008
Paul Sackey,Wing,1979-11-08,29,10,England,2008
James Simpson-Daniel,Wing,1982-05-30,26,10,England,2008
David Strettle,Wing,1983-07-23,25,3,England,2008
Lesley Vainikolo,Wing,1979-05-04,29,5,England,2008
Iain Balshaw,Fullback,1979-04-14,29,30,England,2008
Mark Cueto,Fullback,1979-12-26,29,24,England,2008
Guilhem Guirado,Hooker,1986-06-17,22,1,France,2008
William Servat,Hooker,1978-12-09,30,16,France,2008
Dimitri Szarzewski,Hooker,1983-01-26,25,22,France,2008
Fabien Barcella,Prop,1983-10-27,25,3,France,2008
Julien Brugnaut,Prop,1981-11-17,27,0,France,2008
