Player,Position,Date of Birth,Age,Caps,Team
Jamie Blamire,Hooker,1997-12-22,24,5,England
Luke Cowan-Dickie,Hooker,1993-06-20,28,31,England
Jamie George,Hooker,1990-10-20,31,61,England
Ellis Genge,Prop,1995-02-16,26,31,England
Joe Heyes,Prop,1999-04-13,22,2,England
Joe Marler,Prop,1990-07-07,31,74,England
Bevan Rodd,Prop,2000-08-26,21,2,England
Kyle Sinckler,Prop,1993-03-30,28,47,England
Will Stuart,Prop,1996-07-12,25,15,England
Ollie Chessum,Lock,2000-09-06,21,0,England
Charlie Ewels,Lock,1995-06-29,26,26,England
Jonny Hill,Lock,1994-06-08,27,12,England
Maro Itoje,Lock,1994-10-28,27,51,England
Courtney Lawes,Lock,1989-02-23,32,90,England
Alfie Barbeary,Back row,2000-10-05,21,0,England
Tom Curry,Back row,1998-06-15,23,36,England
Alex Dombrandt,Back row,1997-04-29,24,4,England
Lewis Ludlam,Back row,1995-12-08,26,10,England
Sam Simmonds,Back row,1994-11-10,27,9,England
Raffi Quirke,Scrum-half,2001-08-18,20,2,England
Harry Randall,Scrum-half,1997-12-18,24,2,England
Ben Youngs,Scrum-half,1989-09-05,32,112,England
Orlando Bailey,Fly-half,2001-09-29,20,0,England
Owen Farrell,Fly-half,1991-09-24,30,94,England
Marcus Smith,Fly-half,1999-02-14,22,5,England
Mark Atkinson,Centre,1990-03-08,31,1,England
Joe Marchant,Centre,1996-07-16,25,7,England
Luke Northmore,Centre,1997-03-16,24,0,England
Henry Slade,Centre,1993-03-19,28,43,England
Ollie Hassell-Collins,Wing,1999-01-17,23,0,England
Jonny May,Wing,1990-04-01,31,69,England
Jack Nowell,Wing,1993-11-04,28,34,England
Tommy Freeman,Fullback,2001-03-05,20,0,England
George Furbank,Fullback,1996-10-17,25,5,England
Max Malins,Fullback,1997-01-07,25,10,England
Freddie Steward,Fullback,2000-12-05,21,5,England
Dave Heffernan,Hooker,1991-01-31,31,6,France
Jeremy Loughman,Prop,1995-07-22,26,0,France
James Lowe,Wing,1992-07-08,29,10,France
Jimmy O'Brien,Fullback,1996-11-27,25,0,France
Alun Wyn Jones,Lock,1985-09-19,36,149,France
Taulupe Faletau,Back row,1990-11-12,31,86,France
Josh Navidi,Back row,1990-12-30,31,28,France
Gaëtan Barlot,Hooker,1997-04-13,24,4,France
Julien Marchand,Hooker,1995-05-10,26,16,France
Peato Mauvaka,Hooker,1997-01-10,25,9,France
Uini Atonio,Prop,1990-03-26,31,39,France
Cyril Baille,Prop,1993-09-15,28,31,France
Demba Bamba,Prop,1998-03-17,23,20,France
Daniel Bibi Biziwu,Prop,2001-08-29,20,0,France
Jean-Baptiste Gros,Prop,1999-05-29,22,14,France
Mohamed Haouas,Prop,1994-03-09,27,13,France
Thibaud Flament,Lock,1997-04-29,24,3,France
Bernard Le Roux,Lock,1989-06-04,32,47,France
Romain Taofifénua,Lock,1990-09-14,31,31,France
Florent Vanverberghe,Lock,2000-07-22,21,0,France
Florian Verhaeghe,Lock,1997-04-27,24,0,France
Paul Willemse,Lock,1992-11-13,29,19,France
Grégory Alldritt,Back row,1997-03-23,24,26,France
Dylan Cretin,Back row,1997-05-04,24,13,France
François Cros,Back row,1994-03-25,27,11,France
Ibrahim Diallo,Back row,1998-01-23,24,1,France
Anthony Jelonch,Back row,1996-07-28,25,14,France
Sekou Macalou,Back row,1995-04-20,26,7,France
Yoan Tanga,Back row,1996-11-29,25,0,France
Cameron Woki,Back row,1998-11-07,23,11,France
Baptiste Couilloud,Scrum-half,1997-07-22,24,8,France
Antoine Dupont,Scrum-half,1996-11-15,25,35,France
Maxime Lucu,Scrum-half,1993-01-12,29,2,France
Léo Berdeu,Fly-half,1998-06-13,23,0,France
Antoine Hastoy,Fly-half,1997-06-04,24,1,France
Romain Ntamack,Fly-half,1999-05-01,22,23,France
Jonathan Danty,Centre,1992-10-07,29,11,France
Jules Favre,Centre,1999-03-22,22,0,France
Gaël Fickou,Centre,1994-03-26,27,66,France
Yoram Moefana,Centre,2000-07-18,21,2,France
Virimi Vakatawa,Centre,1992-05-01,29,30,France
Tani Vili,Centre,2000-10-31,21,0,France
Matthis Lebel,Wing,1999-03-25,22,1,France
Damian Penaud,Wing,1996-09-25,25,28,France
Teddy Thomas,Wing,1993-09-18,28,28,France
Gabin Villière,Wing,1995-12-13,26,8,France
Brice Dulin,Fullback,1990-04-13,31,36,France
Melvyn Jaminet,Fullback,1999-06-30,22,6,France
Thomas Ramos,Fullback,1995-07-23,26,14,France
Rob Herring,Hooker,1990-04-27,31,23,Ireland
Rónan Kelleher,Hooker,1998-01-21,24,16,Ireland
Dan Sheehan,Hooker,1998-09-17,23,2,Ireland
Finlay Bealham,Prop,1991-10-09,30,18,Ireland
Tadhg Furlong,Prop,1992-11-14,29,52,Ireland
Cian Healy,Prop,1987-10-07,34,112,Ireland
Dave Kilcoyne,Prop,1988-12-14,33,45,Ireland
Tom O'Toole,Prop,1998-09-23,23,2,Ireland
Andrew Porter,Prop,1996-01-16,26,40,Ireland
Ryan Baird,Lock,1999-07-26,22,6,Ireland
Tadhg Beirne,Lock,1992-01-08,30,25,Ireland
Iain Henderson,Lock,1992-02-21,29,65,Ireland
James Ryan,Lock,1996-07-24,25,40,Ireland
Kieran Treadwell,Lock,1995-11-06,26,3,Ireland
Jack Conan,Back row,1992-07-29,29,22,Ireland
Gavin Coombes,Back row,1997-12-11,24,2,Ireland
Caelan Doris,Back row,1998-04-02,23,12,Ireland
Peter O'Mahony,Back row,1989-09-17,32,79,Ireland
Cian Prendergast,Back row,2000-02-23,21,0,Ireland
Nick Timoney,Back row,1995-08-01,26,2,Ireland
Josh van der Flier,Back row,1993-04-25,28,35,Ireland
Craig Casey,Scrum-half,1999-04-19,22,4,Ireland
Jamison Gibson-Park,Scrum-half,1992-02-23,29,12,Ireland
Conor Murray,Scrum-half,1989-04-20,32,92,Ireland
Jack Carty,Fly-half,1992-08-31,29,10,Ireland
Joey Carbery,Fly-half,1995-11-01,26,27,Ireland
Johnny Sexton (c),Fly-half,1985-07-11,36,101,Ireland
Bundee Aki,Centre,1990-04-07,31,33,Ireland
Robbie Henshaw,Centre,1993-06-12,28,53,Ireland
James Hume,Centre,1998-09-07,23,1,Ireland
Garry Ringrose,Centre,1995-01-26,27,37,Ireland
Robert Baloucoune,Wing,1997-08-19,24,2,Ireland
Andrew Conway,Wing,1991-07-11,30,27,Ireland
Keith Earls,Wing,1987-10-02,34,96,Ireland
Mack Hansen,Wing,1998-03-27,23,0,Ireland
Hugo Keenan,Fullback,1996-06-18,25,16,Ireland
Jordan Larmour,Fullback,1997-06-10,24,30,Ireland
Michael Lowry,Fullback,1998-08-20,23,0,Ireland
Hame Faiva,Hooker,1994-05-09,27,1,Italy
Gianmarco Lucchesi,Hooker,2000-09-10,21,8,Italy
Giacomo Nicotera,Hooker,1996-07-15,25,0,Italy
Pietro Ceccarelli,Prop,1992-02-16,29,17,Italy
Danilo Fischetti,Prop,1998-01-26,24,15,Italy
Ivan Nemer,Prop,1998-04-22,23,3,Italy
Tiziano Pasquali,Prop,1994-07-14,27,21,Italy
Cherif Traorè,Prop,1994-04-10,27,12,Italy
Giosuè Zilocchi,Prop,1997-01-15,25,15,Italy
Niccolò Cannone,Lock,1998-05-17,23,15,Italy
Marco Fuser,Lock,1991-03-09,30,36,Italy
Federico Ruzza,Lock,1994-08-04,27,25,Italy
David Sisi,Lock,1993-02-05,29,18,Italy
Toa Halafihi,Back row,1993-11-27,28,0,Italy
Michele Lamaro (c),Back row,1998-06-03,23,10,Italy
Sebastian Negri,Back row,1994-06-30,27,36,Italy
Giovanni Pettinelli,Back row,1996-03-13,25,1,Italy
Braam Steyn,Back row,1992-05-02,29,46,Italy
Manuel Zuliani,Back row,2000-04-26,21,0,Italy
Callum Braley,Scrum-half,1994-03-24,27,12,Italy
Alessandro Fusco,Scrum-half,1999-10-28,22,2,Italy
Stephen Varney,Scrum-half,2001-05-16,20,9,Italy
Giacomo Da Re,Fly-half,1999-03-29,22,0,Italy
Paolo Garbisi,Fly-half,2000-04-26,21,13,Italy
Leonardo Marin,Fly-half,2002-02-23,19,0,Italy
Ignacio Brex,Centre,1992-05-26,29,8,Italy
Luca Morisi,Centre,1991-02-22,30,36,Italy
Marco Zanon,Centre,1997-10-03,24,7,Italy
Pierre Bruno,Wing,1996-06-28,25,1,Italy
Monty Ioane,Wing,1994-10-30,27,9,Italy
Tommaso Menoncello,Wing,2002-08-20,19,0,Italy
Federico Mori,Wing,2000-10-13,21,11,Italy
Edoardo Padovani,Fullback,1993-03-15,28,30,Italy
Ewan Ashman,Hooker,2000-04-03,21,2,Scotland
Stuart McInally,Hooker,1990-08-09,31,43,Scotland
George Turner,Hooker,1992-10-08,29,20,Scotland
Jamie Bhatti,Prop,1993-09-08,28,22,Scotland
Zander Fagerson,Prop,1996-01-19,26,42,Scotland
WP Nel,Prop,1986-04-30,35,43,Scotland
Pierre Schoeman,Prop,1994-05-07,27,4,Scotland
Javan Sebastian,Prop,1994-09-27,27,1,Scotland
Rory Sutherland,Prop,1992-08-24,29,16,Scotland
Scott Cummings,Lock,1996-12-03,25,21,Scotland
Grant Gilchrist,Lock,1990-08-09,31,48,Scotland
Jonny Gray,Lock,1994-03-24,27,64,Scotland
Jamie Hodgson,Lock,1998-03-19,23,3,Scotland
Sam Skinner,Lock,1995-01-31,27,15,Scotland
Josh Bayliss,Back row,1997-09-18,24,2,Scotland
Magnus Bradbury,Back row,1995-08-23,26,14,Scotland
Andy Christie,Back row,1999-03-27,22,0,Scotland
Rory Darge,Back row,2000-02-23,21,0,Scotland
Matt Fagerson,Back row,1998-07-16,23,17,Scotland
Nick Haining,Back row,1990-09-01,31,10,Scotland
Jamie Ritchie,Back row,1996-08-16,25,31,Scotland
Hamish Watson,Back row,1991-10-15,30,45,Scotland
Ali Price,Scrum-half,1993-05-12,28,46,Scotland
Ben Vellacott,Scrum-half,1995-03-28,26,0,Scotland
Ben White,Scrum-half,1998-05-27,23,0,Scotland
Finn Russell,Fly-half,1992-09-23,29,58,Scotland
Mark Bennett,Centre,1993-02-03,29,22,Scotland
Chris Harris,Centre,1990-12-28,31,31,Scotland
Rory Hutchinson,Centre,1996-01-29,26,5,Scotland
Sam Johnson,Centre,1993-06-19,28,21,Scotland
Cameron Redpath,Centre,1999-12-23,22,1,Scotland
Sione Tuipulotu,Centre,1997-02-12,24,1,Scotland
Darcy Graham,Wing,1997-06-21,24,22,Scotland
Rufus McLean,Wing,2000-03-02,21,2,Scotland
Kyle Rowe,Wing,1998-02-08,23,0,Scotland
Kyle Steyn,Wing,1994-01-29,28,3,Scotland
Duhan van der Merwe,Wing,1995-06-04,26,13,Scotland
Stuart Hogg,Fullback,1992-06-24,29,88,Scotland
Blair Kinghorn,Fullback,1997-01-18,25,28,Scotland
Nic Dolly,Hooker,1999-06-11,22,1,Wales
Nick Isiekwe,Lock,1998-04-20,23,3,Wales
Joe Launchbury,Lock,1991-04-12,30,69,Wales
Tom Pearson,Back row,1999-10-26,22,0,Wales
Sam Underhill,Back row,1996-07-22,25,27,Wales
Jack Willis,Back row,1996-12-24,25,3,Wales
Alex Mitchell,Scrum-half,1997-05-25,24,1,Wales
George Ford,Fly-half,1993-03-16,28,77,Wales
