Player,Position,Date of Birth,Age,Caps,Year
Ryan Elias,Hooker,1/7/1995,27,23,2022
Dewi Lake,Hooker,5/16/1999,22,0,2022
Bradley Roberts,Hooker,1/4/1996,26,1,2022
Leon Brown,Prop,10/26/1996,25,16,2022
Rhys Carré,Prop,2/8/1998,23,16,2022
Tomas Francis,Prop,4/27/1992,29,60,2022
Wyn Jones,Prop,2/26/1992,29,38,2022
Dillon Lewis,Prop,1/4/1996,26,34,2022
Gareth Thomas,Prop,8/2/1993,28,5,2022
Adam Beard,Lock,1/7/1996,26,29,2022
Ben Carter,Lock,1/23/2001,21,5,2022
Seb Davies,Lock,5/17/1996,25,13,2022
Will Rowlands,Lock,9/19/1991,30,13,2022
Christ Tshiunza,Lock,1/9/2002,20,2,2022
Taine Basham,Back row,11/2/1999,22,7,2022
Ellis Jenkins,Back row,4/29/1993,28,14,2022
Jac Morgan,Back row,1/21/2000,22,0,2022
Ross Moriarty,Back row,4/18/1994,27,49,2022
James Ratti,Back row,10/14/1997,24,0,2022
Aaron Wainwright,Back row,9/25/1997,24,34,2022
Gareth Davies,Scrum-half,8/18/1990,31,65,2022
Kieran Hardy,Scrum-half,11/30/1995,26,8,2022
Tomos Williams,Scrum-half,1/1/1995,27,29,2022
Gareth Anscombe,Fly-half,5/10/1991,30,29,2022
Dan Biggar (c),Fly-half,10/16/1989,32,95,2022
Rhys Priestland,Fly-half,1/9/1987,35,52,2022
Callum Sheedy,Fly-half,10/28/1995,26,13,2022
Jonathan Davies,Centre,4/5/1988,33,93,2022
Willis Halaholo,Centre,7/6/1990,31,9,2022
Nick Tompkins,Centre,2/16/1995,26,16,2022
Owen Watkin,Centre,10/12/1996,25,26,2022
Josh Adams,Wing,4/21/1995,26,35,2022
Alex Cuthbert,Wing,4/5/1990,31,48,2022
Louis Rees-Zammit,Wing,2/2/2001,21,12,2022
Johnny McNicholl,Fullback,9/24/1990,31,8,2022
Liam Williams,Fullback,4/9/1991,30,74,2022
Alun Wyn Jones,Lock,9/19/1985,36,149,2022
Taulupe Faletau,Back row,11/12/1990,31,86,2022
Josh Navidi,Back row,12/30/1990,31,28,2022
Elliot Dee,Hooker,3/7/1994,26,32,2021
Ryan Elias,Hooker,1/7/1995,26,13,2021
Ken Owens,Hooker,1/3/1987,34,77,2021
Leon Brown,Prop,10/26/1996,24,12,2021
Rhys Carré,Prop,2/8/1998,22,12,2021
Tomas Francis,Prop,4/27/1992,28,52,2021
Wyn Jones,Prop,2/26/1992,28,30,2021
Dillon Lewis,Prop,1/4/1996,25,40,2021
Jake Ball,Lock,6/21/1991,29,49,2021
Adam Beard,Lock,1/7/1996,25,21,2021
Cory Hill,Lock,2/10/1992,28,29,2021
Alun Wyn Jones (c),Lock,9/19/1985,35,143,2021
Will Rowlands,Lock,9/19/1991,29,5,2021
Taulupe Faletau,Back row,11/12/1990,30,81,2021
Dan Lydiate,Back row,12/18/1987,33,62,2021
Josh Macleod,Back row,10/27/1996,24,0,2021
Josh Navidi,Back row,12/30/1990,30,24,2021
Justin Tipuric,Back row,8/6/1989,31,80,2021
Aaron Wainwright,Back row,9/25/1997,23,27,2021
Gareth Davies,Scrum-half,8/18/1990,30,57,2021
Kieran Hardy,Scrum-half,11/30/1995,25,2,2021
Tomos Williams,Scrum-half,1/1/1995,26,20,2021
Dan Biggar,Fly-half,10/16/1989,31,87,2021
Jarrod Evans,Fly-half,7/25/1995,25,6,2021
Callum Sheedy,Fly-half,10/28/1995,25,4,2021
Jonathan Davies,Centre,4/5/1988,32,85,2021
Nick Tompkins,Centre,2/16/1995,25,8,2021
Owen Watkin,Centre,10/12/1996,24,23,2021
Johnny Williams,Centre,10/18/1996,24,2,2021
Josh Adams,Wing,4/21/1995,25,29,2021
George North,Wing,4/13/1992,28,98,2021
Louis Rees-Zammit,Wing,2/2/2001,20,4,2021
Hallam Amos,Fullback,9/24/1994,26,22,2021
Leigh Halfpenny,Fullback,12/22/1988,32,93,2021
Liam Williams,Fullback,4/9/1991,29,67,2021
WillGriff John,Prop,12/4/1992,28,0,2021
James Botham,Back row,2/22/1998,22,3,2021
Lloyd Williams,Scrum-half,11/30/1989,31,31,2021
Willis Halaholo,Centre,7/6/1990,30,0,2021
Elliot Dee,Hooker,3/7/1994,25,29,2020
Ryan Elias,Hooker,1/7/1995,25,9,2020
Ken Owens,Hooker,1/3/1987,33,73,2020
Rhys Carre,Prop,2/8/1998,21,6,2020
Leon Brown,Prop,10/26/1996,23,6,2020
Rob Evans,Prop,4/14/1992,27,36,2020
WillGriff John,Prop,12/4/1992,27,0,2020
Wyn Jones,Prop,2/26/1992,27,22,2020
Dillon Lewis,Prop,1/4/1996,24,22,2020
Jake Ball,Lock,6/27/1991,28,42,2020
Adam Beard,Lock,1/7/1996,24,20,2020
Seb Davies,Lock,5/17/1996,23,7,2020
Cory Hill,Lock,2/10/1992,27,24,2020
Alun Wyn Jones,Lock,9/19/1985,34,134,2020
Will Rowlands,Lock,9/19/1991,28,0,2020
Taulupe Faletau,Back row,11/12/1990,29,72,2020
Ross Moriarty,Back row,11/12/1990,29,41,2020
Josh Navidi,Back row,12/30/1990,29,23,2020
Aaron Shingler,Back row,8/7/1987,32,26,2020
Justin Tipuric,Back row,8/6/1989,30,72,2020
Aaron Wainwright,Back row,9/25/1997,22,18,2020
Gareth Davies,Scrum-half,8/18/1990,29,51,2020
Rhys Webb,Scrum-half,12/9/1988,31,31,2020
Tomos Williams,Scrum-half,1/1/1995,25,16,2020
Dan Biggar,Fly-half,10/16/1989,30,79,2020
Jarrod Evans,Fly-half,7/25/1996,23,3,2020
Owen Williams,Fly-half,2/27/1992,27,3,2020
Hadleigh Parkes,Centre,10/5/1987,32,25,2020
Nick Tompkins,Centre,2/16/1995,24,0,2020
Owen Watkin,Centre,10/12/1996,23,22,2020
Josh Adams,Wing,4/21/1995,24,21,2020
Owen Lane,Wing,12/20/1997,22,2,2020
Johnny McNicholl,Wing,9/24/1990,29,0,2020
George North,Wing,4/13/1992,27,91,2020
Louis Rees-Zammit,Wing,2/2/2001,18,0,2020
Leigh Halfpenny,Fullback,12/22/1988,31,85,2020
Jonah Holmes,Fullback,7/24/1992,27,3,2020
Liam Williams,Fullback,4/9/1991,28,62,2020
Elliot Dee,Hooker,3/7/1994,24,12,2019
Ryan Elias,Hooker,1/7/1995,24,6,2019
Ken Owens,Hooker,1/3/1987,32,59,2019
Leon Brown,Prop,10/26/1996,22,5,2019
Rob Evans,Prop,4/14/1992,26,30,2019
Tomas Francis,Prop,4/27/1992,26,35,2019
Wyn Jones,Prop,2/26/1992,26,10,2019
Samson Lee,Prop,11/30/1992,26,38,2019
Dillon Lewis,Prop,1/4/1996,23,7,2019
Nicky Smith,Prop,4/7/1994,24,23,2019
Jake Ball,Lock,6/27/1991,27,29,2019
Adam Beard,Lock,1/7/1996,23,7,2019
Seb Davies,Lock,5/17/1996,22,7,2019
Cory Hill,Lock,2/10/1992,26,21,2019
Alun Wyn Jones (c),Lock,9/19/1985,33,119,2019
Ross Moriarty,Back row,4/18/1994,24,25,2019
Josh Navidi,Back row,12/30/1990,28,11,2019
Justin Tipuric,Back row,8/6/1989,29,59,2019
Josh Turnbull,Back row,3/12/1988,30,10,2019
Aaron Wainwright,Back row,9/25/1997,21,2,2019
Thomas Young,Back row,5/18/1992,26,2,2019
Aled Davies,Scrum-half,7/19/1992,26,12,2019
Gareth Davies,Scrum-half,8/18/1990,28,35,2019
Tomos Williams,Scrum-half,1/1/1995,24,5,2019
Gareth Anscombe,Fly-half,5/10/1991,27,20,2019
Dan Biggar,Fly-half,10/16/1989,29,64,2019
Jarrod Evans,Fly-half,7/25/1996,22,1,2019
Rhys Patchell,Fly-half,5/17/1993,25,11,2019
Jonathan Davies,Centre,4/5/1988,30,67,2019
Hadleigh Parkes,Centre,10/5/1987,31,10,2019
Owen Watkin,Centre,10/12/1996,22,7,2019
Scott Williams,Centre,10/10/1990,28,57,2019
Josh Adams,Wing,4/21/1995,23,5,2019
Hallam Amos,Wing,9/24/1994,24,18,2019
Steff Evans,Wing,9/1/1994,24,12,2019
Jonah Holmes,Wing,7/24/1992,26,1,2019
George North,Wing,4/13/1992,26,78,2019
Leigh Halfpenny,Fullback,12/22/1988,30,80,2019
Liam Williams,Fullback,4/9/1991,27,50,2019
Scott Baldwin,Hooker,7/12/1988,29,34,2018
Elliot Dee,Hooker,3/7/1994,23,2,2018
Ken Owens,Hooker,1/3/1987,31,52,2018
Rob Evans,Prop,4/14/1992,25,20,2018
Tomas Francis,Prop,4/27/1992,25,26,2018
Wyn Jones,Prop,2/26/1992,25,5,2018
Samson Lee,Prop,11/30/1992,25,34,2018
Dillon Lewis,Prop,1/4/1996,22,2,2018
Nicky Smith,Prop,4/7/1994,23,16,2018
Adam Beard,Lock,1/7/1996,22,2,2018
Bradley Davies,Lock,1/9/1987,31,57,2018
Seb Davies,Lock,5/15/1996,21,3,2018
Cory Hill,Lock,2/10/1992,25,10,2018
Alun Wyn Jones (c),Lock,9/19/1985,32,113,2018
James Davies,Flanker,10/25/1990,27,0,2018
Ellis Jenkins,Flanker,4/29/1993,24,5,2018
Josh Navidi,Flanker,12/30/1990,27,7,2018
Aaron Shingler,Flanker,8/7/1987,30,13,2018
Justin Tipuric,Flanker,8/6/1989,28,52,2018
Taulupe Faletau,Number 8,11/12/1990,27,70,2018
Ross Moriarty,Number 8,4/18/1994,23,17,2018
Aled Davies,Scrum-half,7/19/1992,25,5,2018
Gareth Davies,Scrum-half,8/18/1990,27,27,2018
Rhys Webb,Scrum-half,12/9/1988,29,31,2018
Gareth Anscombe,Fly-half,5/10/1991,26,11,2018
Dan Biggar,Fly-half,10/16/1989,28,60,2018
Rhys Patchell,Fly-half,5/17/1993,24,5,2018
Rhys Priestland,Fly-half,1/9/1987,31,50,2018
Hadleigh Parkes,Centre,10/5/1987,30,1,2018
Owen Watkin,Centre,10/12/1996,21,2,2018
Owen Williams,Centre,2/27/1992,25,3,2018
Scott Williams,Centre,10/10/1990,27,51,2018
Josh Adams,Wing,4/21/1995,22,0,2018
Hallam Amos,Wing,9/24/1994,23,15,2018
Alex Cuthbert,Wing,4/5/1990,27,47,2018
Steff Evans,Wing,9/1/1994,23,5,2018
George North,Wing,4/13/1992,25,69,2018
Leigh Halfpenny,Fullback,12/22/1988,29,74,2018
